handle,product_name,SKU (from Shopify),HSN Code,Packaging Length (cm),Packaging Width (cm),Packaging Height (cm),GST Code (%)
clovers-magnetic-necklace-in-925-silver-by-svadezi,Clovers Magnetic Necklace in 925 Silver by SVADEZI,,,,,,
flower-threader-earrings-in-925-silver-by-svadezi,Flower Threader Earrings in 925 silver by SVADEZI,,,,,,
designer-cz-adjustable-bracelet-in-925-silver-by-svadezi,Designer CZ Adjustable Bracelet in 925 Silver by SVADEZI,SBRL/10014,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,butterfly embrace heart pendant in 925 Silver by SVADEZI,SCH/14045,,,,,
bali-hanging-bird-in-925-silver-by-svadezi,Bali hanging bird in 925 Silver by SVADEZI,STPS/17987,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,Fresh Water pearl studed earrings in 925 Silver by SVADEZI,STPS/14950,,,,,
blue-topaz-butterfly-bracelet-in-925silver-by-svadezi,Blue Topaz Butterfly Bracelet in 925Silver by SVADEZI,SBRL/10014,,,,,
butterfly-ring-featuring-sparkling-white-swarovski,Butterfly ring featuring sparkling white Swarovski,SLR92/18999,,,,,
rectangular-sleek-multi-stone-earrings-in-925-silver-by-svadezi,Rectangular Sleek Multi Stone Earrings in 925 Silver by SVADEZI,STPS/17932,,,,,
dazzling-white-swarovski-pendant-set-in-925-silver-by-svadezi,Dazzling white Swarovski pendant Set in 925 Silver by SVADEZI,SCSET/1169,,,,,
butterfly-casting-ring-in-925-silver-by-svadezi,Butterfly Casting Ring in 925 Silver by SVADEZI,SLR92/18947,,,,,
swarovski-blue-pendant-in-925-silver-by-svadezi,Swarovski Blue Pendant in 925 Silver by SVADEZI,SCH/14754,,,,,
pristine-cut-quartz-bracelete-in-925-silver-by-svadezi,Pristine cut Quartz Bracelete in 925 Silver by SVADEZI,SBRL/11006,,,,,
vibrant-colored-zirconiumring-in-925-silver-by-svadezi,Vibrant colored Zirconium ring in 925 Silver by SVADEZI,SLR92/18947,,,,,
blue-zirconium-rose-gold-studs-in-925-silver-by-svadezi,Blue Zirconium Rose Gold Studs in 925 Silver by SVADEZI,STPS/15221,,,,,
swarovski-leaf-earrings-in-925-silver-by-svadezi,Swarovski leaf Earrings in 925 Silver by SVADEZI,STPS/17921,,,,,
charming-bird-and-flower-ring-adjustable-in-925-silver-by-svadezi,Charming Bird and Flower Ring (Adjustable) in 925 Silver by SVADEZI,SLR92/21733,,,,,
evil-eye-earring-in-925-silver-by-svadezi,Evil Eye Earring in 925 Silver by SVADEZI,STPS/15167,,,,,
enamel-butterfly-ring-in-925-silver-by-svadezi,Enamel Butterfly ring in  925 Silver by SVADEZI,SLR92/21860,,,,,
exquisite-swan-design-pendant-set-in-925-silver-by-svadezi,Exquisite Swan Design Pendant Set in 925 Silver by SVADEZI,SPST/5911,,,,,
butterfly-minable-ring-adjustable-in-925-silver-by-svadezi,Butterfly Minable Ring (Adjustable) in 925 Silver by SVADEZI,SLR92/20327,,,,,
majestic-swan-pendant-set-in-925-silver-by-svadezi,Majestic Swan pendant Set in 925 Silver by SVADEZI,SPST/5911,,,,,
intricate-enameling-feather-ring-in-925-silver-by-svadezi,Intricate Enameling feather Ring in 925 Silver by SVADEZI,SLR92/21654,,,,,
pink-heart-cz-ring-in-925-silver-by-svadezi,Pink heart Cz Ring in 925 Silver by SVADEZI,SLR92/20027,,,,,
swarovski-bird-pendant-in-925-silver-by-svadezi,Swarovski Bird Pendant in 925 Silver by SVADEZI,Length- 23 cm (Adjustable),,,,,
butterfly-adjustable-pendant-in-925-silver-by-svadezi,Butterfly Adjustable Pendant in 925 Silver by SVADEZI,SCH/18467,,,,,
swarovski-bird-stud-earring-in-925-silver-by-svadezi,Swarovski Bird Stud Earring in 925 Silver by SVADEZI,,,,,,
swan-in-swarovski-zircon-pendant-in-925-silver-by-svadezi,Swan in Swarovski pendant in 925 Silver by SVADEZI,SCH/14638,,,,,
leaf-pendant-with-fresh-water-pearl-in-925-silver-by-svadezi,Leaf Pendant with Fresh Water Pearl in 925 Silver by SVADEZI,SCH/14753,,,,,
swarovski-solitaire-studs-in-925-silver-by-svadezi,Swarovski Solitaire Studs in 925 Silver by SVADEZI,STPS/17244,,,,,
interlocking-hearts-with-swarovski-zircon-in-925-silver-by-svadezi,Interlocking hearts with Swarovski zircon in 925 Silver by SVADEZI,SCH/14133,,,,,
dazzling-silver-crossed-ring-in-925-silver-by-svadezi,Dazzling silver crossed ring in 925 Silver by SVADEZI,SLR92/20027,,,,,
heart-and-arrow-pendant-crafted-in-mother-of-pearl-in-925-silver-by-svadezi,Heart and Arrow Pendant Crafted in Mother of Pearl in 925 Silver by SVADEZI,SCH/13915,,,,,
blue-stone-butterfly-bracelete-in-925-silver-by-svadezi,Blue Stone Butterfly Bracelete in 925 Silver by SVADEZI,SBRL/9942,,,,,
fresh-water-pearl-earrings-in-925-silver-by-svadezi-1,Fresh water Pearl Earrings in 925 Silver by SVADEZI,STPS/17915,,,,,
