Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Diamond Weight (ct) (product.metafields.custom.diamond_weight_ct),Colors (product.metafields.jhango.colors),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,Italian Exclusive Hug Ring (Adjustable) in 925 Silver By SVADEZI,"<p>High Quality Nickel Free Rhodium Coated</p>
<p>Size: Adjustable for all Sizes (Mention Size in order Note)</p>
<p>- This ring is made of 925 silver, which is a high-quality metal that does not tarnish or corrode easily.<br>- The ring is coated with rhodium, a rare and precious metal that gives it a shiny and durable finish. Rhodium is also nickel-free, which means it is hypoallergenic and safe for sensitive skin.<br>- The ring features an exclusive design by SVADEZI, a brand that specializes in handmade jewelry with an Italian flair. The design is inspired by the OG handshake, a gesture of respect and friendship among hip-hop fans.<br>- The ring is a limited edition item, only available from SVADEZI. It comes with a certificate of authenticity and a gift box. It is a perfect accessory for anyone who loves hip-hop culture and Italian style.</p>",SVADEZI,Apparel & Accessories > Jewelry > Rings,Ring,"svadezi, svadezijewellery",false,Color,Rose Gold,,,,,,,,,4.0,shopify,68,continue,manual,1849.0,2649.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/hug-ring-925-sterling-silver-rings-higherchakra-29882419576967.webp?v=1740600070,1,,false,,,,,,,,,,,,,,,,,'8,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Untitled_design_81238e96-66ec-44e7-9a8d-6b47eb57d6ed.svg?v=1716321692,g,,0.00,true,,,active
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,Rhodium,,,,,,,,,4.0,shopify,35,continue,manual,1749.0,2649.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/DSC08778-Enhanced-NR-scaled.jpg?v=1740600072,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/hug-ring-925-sterling-silver-rings-higherchakra-29882419576967.webp?v=1740600070,g,,0.00,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,22k Gold,,,,,,,,,0.4,shopify,51,continue,manual,1949.0,2749.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/DSC08772-Enhanced-NR-scaled.jpg?v=1740600073,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/next-craetion-golden-hug-ring-for-women-girls-hugging-hand-open-statement-ring-product-images-rvhatailht-2-202307280348.jpg?v=1740600081,g,,0.00,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/DSC09119-scaled.jpg?v=1740600074,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/DSC08762-Enhanced-NR-scaled.jpg?v=1740600076,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/hug-ring-500x500.jpg?v=1740600076,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Untitled_design_81238e96-66ec-44e7-9a8d-6b47eb57d6ed.svg?v=1716321692,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/hugring.webp?v=1740600077,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Hugring-01_PRYA_2000x_6c137f77-fa5c-474f-83c0-be912b710107.webp?v=1740600079,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/adjustable-1-gold-ring-hug-ring-university-trendz-original-imagbap4azuhgfbw.webp?v=1740600080,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italian-exclusive-aaa-og-handshake-ring-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/next-craetion-golden-hug-ring-for-women-girls-hugging-hand-open-statement-ring-product-images-rvhatailht-2-202307280348.jpg?v=1740600081,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,Clovers Magnetic Necklace in 925 Silver by SVADEZI,"<p><strong>Length: 21CM with Pendant(Adjustable)</strong></p>
<p>Explore the timeless beauty of SVADEZI's Clover Magnetic Necklace. Made with high-quality 925 Sterling Silver, each piece showcases expert craftsmanship and comes with an <strong>authenticity certificate</strong>. Elevate your style with this elegant and traditional necklace.</p>",SVADEZI,Apparel & Accessories > Jewelry > Charms & Pendants,necklace,"svadezi, svadezijewellery",false,Color,White Gold,,,,,,,,,5.0,shopify,9,deny,manual,2349.0,4208.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/252.jpg?v=1740601176,1,,false,,,192,,,,,,,,,,,,,,'19,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/252.jpg?v=1740601176,g,,,true,,,active
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,Rose Gold,,,,,,,,,5.0,shopify,10,deny,manual,2349.0,4208.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/1_1200x1200_35ab5872-a63b-404f-b904-ea183781d76f.webp?v=1740601178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/08_1f131905-516d-4922-a368-4b6c16fc6ce6.jpg?v=1740601193,g,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/320df51423af8bb8a542c5bd2ec5853c.jpg?v=1740601179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/ShinyClover_4_96b8a80f-6f51-4ffc-a557-d70760d73f66.webp?v=1740601180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Vintage-Lucky-Four-Leaf-Clover-Necklaces-for-Women-Goth-Love-Heart-Pendant-Choker-Chain-Necklace-Stainless.webp?v=1740601181,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/fashion-frill-hearts-clover-pendant-necklace-for-women-magnetic-chain-necklace-for-women-girls-valentine-gift-for-wife-girlfriend-women-s-fashion-jewellery-product-images-rvhfij5dby-1.webp?v=1740601182,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/four-leaf-clover-magnetic-necklace-zeneein-496390.webp?v=1740601183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/533c53b4ad4a9fb7be959262c72c1dd2.jpg?v=1740601184,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/H1945726f642047ba92a94e5099d4d2c1i_1024x_6c589b41-e5bb-4bec-a01c-c0a801b21d16.webp?v=1740601185,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/27fb6a69317d10b668c807ececfa0b6a.jpg?v=1740601186,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/0abec3250a44fd87d66c15d549f8571b.jpg?v=1740601187,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/61zbPfNLU7L._AC_UY580.jpg?v=1740601188,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/6315bb5173d761d223f96c0f-large.webp?v=1740601189,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/249.jpg?v=1740601190,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/107.jpg?v=1740601192,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/08_1f131905-516d-4922-a368-4b6c16fc6ce6.jpg?v=1740601193,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clovers-magnetic-necklace-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/29_d5673e94-e4c0-4756-a546-59876546c032.jpg?v=1740601196,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower-threader-earrings-in-925-silver-by-svadezi,Flower Threader Earrings in 925 silver by SVADEZI,"<p><!---->Discover the elegant and modern design of SVADEZI's Flower Threader Earrings. Made from high-quality 925 silver, these earrings are the perfect addition to any outfit, providing a touch of sophistication and style. The unique threader style adds versatility, making them perfect for any occasion. Upgrade your accessory game with SVADEZI.</p>
<!---->",SVADEZI,,earrings,,false,Title,Default Title,,,,,,,,,3.5,shopify,12,deny,manual,2149.0,4028.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Flower_Threader_Earrings_Main-topaz-enhance-4x.jpg?v=1740601201,1,,false,,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,,,,,g,,,true,,,active
flower-threader-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/E266-topaz-enhance-2.1x.jpg?v=1740601204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower-threader-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/Flower_Threader_Earrings_Wear-topaz-enhance-4x.jpg?v=1740601206,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flower-threader-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/29a27464fbebdc5ae8faf43182089dc89944d9e3-700_480x_7720bb78-44a2-4208-93be-acea9aba3a5c.webp?v=1740601207,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
designer-cz-adjustable-bracelet-in-925-silver-by-svadezi,Designer CZ Adjustable Bracelet in 925 Silver by SVADEZI,"<p><strong>Length- 17cm (Adjustable)</strong></p>
<p>Introducing our exquisite silver adjustable chain bracelet, featuring a captivating round design adorned with shimmering white Swarovski zircon. Crafted with elegance and versatility in mind, this bracelet adds a touch of sophistication to any ensemble. The adjustable feature ensures a comfortable fit, making it perfect for any occasion.</p>",SVADEZI,Apparel & Accessories > Jewelry > Bracelets,Ring,"svadezi, svadezijewellery",false,Title,Default Title,,,,,,,,SBRL/10014,3.49,shopify,30,deny,manual,2249.0,2625.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/34.jpg?v=1740601210,1,,false,,,191,,,,,,,,,,,,,,'0,,,,,,,,,,,,,,,,g,,,true,,,active
designer-cz-adjustable-bracelet-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/87.jpg?v=1740601212,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
designer-cz-adjustable-bracelet-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_20240302_202437.jpg?v=1740601214,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,butterfly embrace heart pendant in 925 Silver by SVADEZI,"<p><span><strong>Length- 23.2 cm (Adjustable)</strong></span></p>
<p>Stunning silver charm chain, featuring a bespoke pendant design showcasing a delicate semi-precious stone butterfly. Within the butterfly's embrace, a heart pendant with the heartfelt inscription ""I love you"" awaits. This exquisite combination of intricate craftsmanship and sentimental symbolism adds a unique and cherished touch to your ensemble.</p>",SVADEZI,Apparel & Accessories > Jewelry > Charms & Pendants,pendant,"svadezi, svadezijewellery",false,Title,Default Title,,,,,,,,SCH/14045,6.75,shopify,30,continue,manual,3049.0,3900.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/08.jpg?v=1740601216,1,,false,,,192,,,,,,,,,,,,,,'0,,,,,,,,,,,,,,,,g,,,true,,,active
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/07_4bee1a06-7e9c-4a21-a225-2165ac2fa95e.jpg?v=1740601218,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_20240209_193206.jpg?v=1740601221,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/09.jpg?v=1740601224,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/57.jpg?v=1740601227,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-embrace-heart-pendant-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/58.jpg?v=1740601229,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bali-hanging-bird-in-925-silver-by-svadezi,Bali hanging bird in 925 Silver by SVADEZI,"<p><strong>Length- 1.9 cm Width- 0.8 cm </strong></p>
<p>Introducing our Bali earrings adorned with a hanging bird design, embellished with white Swarovski zircon and accented by a lovely pink semi-precious stone in the eye. These earrings exude charm and elegance, adding a touch of uniqueness to any outfit. Versatile and stylish, they are perfect for various occasions.</p>",SVADEZI,Apparel & Accessories > Jewelry > Earrings,earrings,"svadezi, svadezijewellery",false,Title,Default Title,,,,,,,,STPS/17987,1.6,shopify,30,deny,manual,1749.0,2428.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/19.jpg?v=1740601232,1,,false,,,194,,,,,,,,,,,,,,'0,,,,,,,,,,,,,,,,g,,,true,,,active
bali-hanging-bird-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/20_de7a69a3-4de1-439c-86fa-6ce7cfbefda4.jpg?v=1740601235,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bali-hanging-bird-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/30.jpg?v=1740601239,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,Fresh Water pearl studed earrings in 925 Silver by SVADEZI,"<p><strong>Length- 3.0CM Width- 1.5CM</strong></p>
<p>Enhance your personal style with our exclusive earrings, featuring captivating designs that exude individuality and elegance, making them the perfect statement accessory for any occasion. White pearl stud Is separately and can be wore separately</p>",SVADEZI,Apparel & Accessories > Jewelry > Earrings,earrings,"svadezi, svadezijewellery",false,Color,rose-gold,product.metafields.shopify.color-pattern,,,,,,,STPS/14950,3.05,shopify,30,continue,manual,2349.0,3530.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_5709.jpg?v=1740601240,1,,false,,,194,,,,,,,,,,,,,,'0,,,rose-gold; white-gold,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/16_36724c9e-d9d0-4fda-b3b7-2af20d87b046.jpg?v=1740601246,g,,,true,,,active
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,,,,,,,,,white-gold,,,,,,,,STPS/14951,3.05,shopify,30,continue,manual,2349.0,3530.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/312.jpg?v=1740601244,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_5709.jpg?v=1740601240,g,,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_5733.jpg?v=1740601244,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/15_8e3d5d9c-9391-4eef-b8bd-649e1f625f9c.jpg?v=1740601246,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/16_36724c9e-d9d0-4fda-b3b7-2af20d87b046.jpg?v=1740601246,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-water-pearl-studed-earrings-in-925-silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/311.jpg?v=1740601251,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-topaz-butterfly-bracelet-in-925silver-by-svadezi,Blue Topaz Butterfly Bracelet in 925Silver by SVADEZI,"<p><strong>Length- 17 cm ( Adjustable)</strong></p>
<p>Introducing our elegant silver adjustable chain bracelet featuring a charming butterfly centerpiece adorned with white Swarovski zircon and a radiant Blue Topaz  stone. This exquisite design adds a touch of grace and sophistication to your ensemble, perfect for both casual and special occasions</p>",SVADEZI,Apparel & Accessories > Jewelry > Bracelets,bracelet,,false,Title,Default Title,,,,,,,,SBRL/10014,3.01,shopify,30,deny,manual,2449.0,3704.0,true,true,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/03_442f56b5-60d7-474d-88cd-f5cbedd8201f.jpg?v=1740601254,1,,false,,,191,,,,,,,,,,,,,,'0,,,,,,,,,,,,,,,,g,,,true,,,active
blue-topaz-butterfly-bracelet-in-925silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_20240101_133930.jpg?v=1740601255,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blue-topaz-butterfly-bracelet-in-925silver-by-svadezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0651/8987/1813/files/IMG_20240102_130300.jpg?v=1740601256,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
